iter	Passed	Remaining
155	304	1650
156	305	1641
157	306	1634
158	307	1627
159	308	1620
160	309	1610
161	309	1603
162	310	1596
163	311	1588
164	312	1582
165	313	1575
166	314	1568
167	315	1560
168	315	1553
169	316	1547
170	317	1539
171	318	1533
172	319	1526
173	320	1520
174	320	1512
175	321	1505
176	322	1500
177	323	1494
178	324	1489
179	325	1483
180	326	1477
181	327	1471
182	328	1465
183	329	1460
184	330	1453
185	330	1447
186	331	1440
187	332	1434
188	333	1430
189	334	1424
190	335	1419
191	335	1413
192	336	1408
193	337	1403
194	338	1397
195	339	1393
196	340	1389
197	341	1385
198	342	1379
199	343	1373
200	344	1368
201	345	1364
202	346	1359
203	346	1353
204	348	1349
205	349	1346
206	350	1344
207	352	1341
208	353	1336
209	354	1335
210	356	1332
211	357	1327
212	358	1323
213	359	1318
214	359	1313
215	360	1308
216	361	1303
217	362	1299
218	363	1294
219	363	1289
220	364	1284
221	365	1279
222	365	1274
223	366	1270
224	367	1267
225	368	1263
226	370	1261
227	371	1256
228	371	1252
229	372	1247
230	373	1242
231	373	1238
232	374	1234
233	375	1229
234	376	1226
235	377	1222
236	378	1217
237	378	1212
238	379	1208
239	380	1204
240	380	1199
241	381	1195
242	382	1191
243	383	1187
244	384	1184
245	385	1180
246	386	1177
247	386	1172
248	387	1169
249	388	1164
250	388	1160
251	389	1156
252	390	1152
253	391	1149
254	391	1145
255	392	1141
256	393	1137
257	393	1133
258	394	1128
259	395	1125
260	395	1121
261	396	1117
262	397	1113
263	398	1110
264	399	1107
265	400	1105
266	401	1102
267	402	1098
268	403	1095
269	403	1091
270	404	1088
271	405	1085
272	406	1081
273	406	1078
274	407	1075
275	408	1071
276	409	1068
277	409	1064
278	410	1061
279	411	1057
280	412	1054
281	412	1050
282	413	1048
283	414	1045
284	415	1041
285	415	1038
286	416	1034
287	417	1031
288	418	1028
289	418	1025
290	419	1021
291	420	1018
292	420	1015
293	421	1012
294	422	1009
295	422	1006
296	423	1002
297	424	999
298	425	996
299	425	993
300	426	990
301	427	987
302	427	984
303	429	982
304	429	979
305	430	976
306	431	973
307	432	970
308	432	967
309	433	964
310	434	961
311	434	958
312	435	955
313	436	953
314	436	949
315	437	946
316	438	943
317	438	940
318	439	937
319	440	935
320	440	932
321	441	929
322	442	926
323	442	923
324	444	922
325	444	919
326	445	917
327	446	915
328	447	912
329	448	910
330	449	907
331	449	905
332	450	902
333	451	899
334	451	897
335	452	894
336	453	891
337	453	888
338	454	886
339	455	883
340	455	881
341	456	878
342	457	875
343	457	873
344	458	871
345	459	868
346	460	866
347	461	864
348	462	862
349	463	859
350	463	857
351	464	854
352	464	851
353	465	849
354	465	846
355	466	843
356	467	841
357	467	838
358	468	835
359	468	833
360	469	830
361	469	828
362	470	825
363	471	823
364	471	820
365	472	818
366	472	815
367	473	813
368	474	811
369	475	809
370	476	807
371	476	805
372	477	802
373	478	800
374	478	798
375	479	795
376	480	793
377	480	791
378	481	789
379	482	786
380	482	784
381	483	781
382	483	779
383	484	777
384	485	774
385	485	772
386	486	770
387	486	767
388	487	765
389	487	763
390	489	762
391	490	761
392	491	759
393	492	757
394	493	755
395	493	753
396	494	751
397	495	749
398	495	746
399	496	744
400	497	742
401	497	740
402	498	737
403	498	735
404	499	733
405	499	731
406	500	728
407	500	726
408	501	724
409	501	722
410	502	720
411	503	718
412	504	716
413	504	714
414	505	712
415	506	711
416	507	708
417	507	706
418	508	704
419	508	702
420	509	700
421	510	699
422	511	697
423	512	695
424	512	693
425	513	691
426	513	689
427	514	687
428	515	685
429	515	683
430	516	681
431	516	679
432	517	677
433	517	675
434	518	674
435	519	672
436	520	670
437	521	669
438	522	667
439	522	665
440	523	663
441	524	661
442	524	659
443	525	657
444	526	656
445	526	654
446	527	652
447	527	650
448	528	648
449	528	646
450	529	644
451	529	642
452	530	640
453	530	638
454	531	636
455	532	635
456	532	633
457	533	631
458	534	630
459	535	628
460	536	627
461	537	625
462	537	623
463	538	622
464	539	620
465	540	619
466	540	617
467	541	615
468	541	613
469	542	611
470	542	609
471	543	607
472	543	606
473	544	604
474	545	602
475	545	600
476	546	599
477	547	597
478	547	595
479	548	594
480	549	593
